Title,Unit(grams),Price(NRs)
Samyang Hot Chicken Flavor Ramen_KOREAN SPICY NOODLE  (140gx packs),,1000.00
Roza Fried Mackerel With Chilli Sauce (Eoe),140.0,190.00
Guitole Achar Udhyog Chicken Pickle,400.0,760.00
Green Raisin 1Kg / Kismis / Dakh -,1000.0,570.00
Harlal's Unique Pisatachios,400.0,1160.00
Yellow Raisins -,500.0,280.00
Anjir  / Anjeer / Fig -  By Sarga Bazar,1000.0,2100.00
Makhana  Packet,250.0,299.00
Sweet Corn Kernel (NW-425: DW-180) Gm Can (Chinese),,133.00
Musur Daal,1000.0,170.00
"D Royal Gharko Buff Pickle(Achar) pack of 1, Net wt-",500.0,1199.00
Homemade Deep Timur ( Sichuan Pepper),100.0,142
Akbare Khursani ra Lasun ko Achar (Homemade Akbare Chili and Garlic Pearl Pickle) -  - Lotus Products,350.0,475.00
